idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
3049;-3069.357142857143;3691.0;-351.42857142857144;6.992631173130559e-08
3051;-3069.357142857143;3691.0;-331.1428571428572;3.927732607460196e-08
3078;-3059.214285714286;3691.0;-392.0;4.288837242051633e-08
3081;-3059.214285714286;3691.0;-361.57142857142856;6.174968344295895e-08
3082;-3059.214285714286;3691.0;-351.42857142857144;7.00859629133048e-08
3084;-3059.214285714286;3691.0;-331.1428571428572;4.299789334372158e-08
3117;-3049.0714285714284;3691.0;-331.1428571428572;4.657595948821746e-08
3143;-3038.9285714285716;3691.0;-402.1428571428572;5.52789265612494e-09
3146;-3038.9285714285716;3691.0;-371.7142857142858;9.07218157291183e-08
3180;-3028.785714285714;3691.0;-361.57142857142856;9.614587679904547e-08
3215;-3018.6428571428573;3691.0;-341.28571428571433;8.722505830272707e-08
3276;-2998.357142857143;3691.0;-392.0;6.390662773364282e-08
3277;-2998.357142857143;3691.0;-381.8571428571429;7.083869977697608e-08
3342;-2978.0714285714284;3691.0;-392.0;8.131625574874746e-08
3343;-2978.0714285714284;3691.0;-381.8571428571429;9.480094407497724e-08
3345;-2978.0714285714284;3691.0;-361.57142857142856;1.606486843602228e-07
3347;-2978.0714285714284;3691.0;-341.28571428571433;1.0445277755758007e-07
3413;-2957.7857142857147;3691.0;-341.28571428571433;1.1045779939581735e-07
3414;-2957.7857142857147;3691.0;-331.1428571428572;5.713284151030963e-08
3442;-2947.642857142857;3691.0;-381.8571428571429;1.4814623864703102e-07
3444;-2947.642857142857;3691.0;-361.57142857142856;1.8179778257443204e-07
3508;-2927.357142857143;3691.0;-381.8571428571429;1.629415423646407e-07
3509;-2927.357142857143;3691.0;-371.7142857142858;1.0185115020465702e-07
3510;-2927.357142857143;3691.0;-361.57142857142856;1.922004007298914e-07
3511;-2927.357142857143;3691.0;-351.42857142857144;1.3350864304666822e-07
3544;-2917.214285714286;3691.0;-351.42857142857144;1.3450513485947357e-07
3574;-2907.0714285714284;3691.0;-381.8571428571429;1.4465346716165033e-07
3575;-2907.0714285714284;3691.0;-371.7142857142858;1.187524190251344e-07
3577;-2907.0714285714284;3691.0;-351.42857142857144;1.2921030434704382e-07
3578;-2907.0714285714284;3691.0;-341.28571428571433;1.1841065605321724e-07
3604;-2896.9285714285716;3691.0;-412.28571428571433;2.1935396105629804e-08
3611;-2896.9285714285716;3691.0;-341.28571428571433;1.0732331054654581e-07
3638;-2886.7857142857147;3691.0;-402.1428571428572;5.3447321667278793e-08
3640;-2886.7857142857147;3691.0;-381.8571428571429;1.2163310410806983e-07
3641;-2886.7857142857147;3691.0;-371.7142857142858;1.2566948380656914e-07
3642;-2886.7857142857147;3691.0;-361.57142857142856;1.5753689920018583e-07
3643;-2886.7857142857147;3691.0;-351.42857142857144;1.1510849449529503e-07
3673;-2876.642857142857;3691.0;-381.8571428571429;1.1097276902795943e-07
3675;-2876.642857142857;3691.0;-361.57142857142856;1.4757285391636587e-07
3707;-2866.5;3691.0;-371.7142857142858;1.1525861315617604e-07
3710;-2866.5;3691.0;-341.28571428571433;7.181083029046959e-08
3769;-2846.214285714286;3691.0;-412.28571428571433;1.8539576390433153e-08
3772;-2846.214285714286;3691.0;-381.8571428571429;7.325725193074049e-08
3773;-2846.214285714286;3691.0;-371.7142857142858;9.107750874787889e-08
3775;-2846.214285714286;3691.0;-351.42857142857144;7.780140866192273e-08
3836;-2825.9285714285716;3691.0;-402.1428571428572;4.347825676988155e-08
3842;-2825.9285714285716;3691.0;-341.28571428571433;4.355211621253632e-08
3872;-2815.7857142857147;3691.0;-371.7142857142858;6.576356300987975e-08
3905;-2805.642857142857;3691.0;-371.7142857142858;5.926379348439966e-08
3970;-2785.357142857143;3691.0;-381.8571428571429;2.568345814329014e-08
4005;-2775.214285714286;3691.0;-361.57142857142856;1.9750415627728158e-08
4066;-2754.9285714285716;3691.0;-412.28571428571433;8.086902491731418e-09
4070;-2754.9285714285716;3691.0;-371.7142857142858;2.6780196462816753e-08
4101;-2744.7857142857147;3691.0;-392.0;1.4086740294419951e-08
7109;-3109.9285714285716;3701.1428571428573;-341.28571428571433;3.632087403215807e-08
7140;-3099.785714285714;3701.1428571428573;-361.57142857142856;2.238726758450875e-08
7208;-3079.5;3701.1428571428573;-341.28571428571433;7.012908736144384e-08
7271;-3059.214285714286;3701.1428571428573;-371.7142857142858;8.392693774040663e-08
7302;-3049.0714285714284;3701.1428571428573;-392.0;5.4999647692995644e-08
7337;-3038.9285714285716;3701.1428571428573;-371.7142857142858;9.71970542744244e-08
7340;-3038.9285714285716;3701.1428571428573;-341.28571428571433;9.99430254107486e-08
7369;-3028.785714285714;3701.1428571428573;-381.8571428571429;6.139741860401272e-08
7370;-3028.785714285714;3701.1428571428573;-371.7142857142858;1.0237080995903448e-07
7374;-3028.785714285714;3701.1428571428573;-331.1428571428572;6.274628048603458e-08
7404;-3018.6428571428573;3701.1428571428573;-361.57142857142856;1.149009260761466e-07
7437;-3008.5;3701.1428571428573;-361.57142857142856;1.195074919846224e-07
7468;-2998.357142857143;3701.1428571428573;-381.8571428571429;7.424611491058357e-08
7503;-2988.214285714286;3701.1428571428573;-361.57142857142856;1.4449593068695392e-07
7535;-2978.0714285714284;3701.1428571428573;-371.7142857142858;1.3276903327821425e-07
7600;-2957.7857142857147;3701.1428571428573;-381.8571428571429;1.3120759117621694e-07
7601;-2957.7857142857147;3701.1428571428573;-371.7142857142858;1.2322298975259772e-07
7637;-2947.642857142857;3701.1428571428573;-341.28571428571433;1.2165489451277667e-07
7664;-2937.5;3701.1428571428573;-402.1428571428572;3.9872334794389143e-08
7665;-2937.5;3701.1428571428573;-392.0;1.0086174444562744e-07
7666;-2937.5;3701.1428571428573;-381.8571428571429;1.556210823031783e-07
7671;-2937.5;3701.1428571428573;-331.1428571428572;6.146085895692745e-08
7696;-2927.357142857143;3701.1428571428573;-412.28571428571433;1.3106681539828234e-08
7701;-2927.357142857143;3701.1428571428573;-361.57142857142856;1.9245333794830051e-07
7702;-2927.357142857143;3701.1428571428573;-351.42857142857144;1.2346179467011348e-07
7731;-2917.214285714286;3701.1428571428573;-392.0;8.695695629598021e-08
7735;-2917.214285714286;3701.1428571428573;-351.42857142857144;1.254578861750507e-07
7765;-2907.0714285714284;3701.1428571428573;-381.8571428571429;1.4830375388021367e-07
7767;-2907.0714285714284;3701.1428571428573;-361.57142857142856;1.7480775383176242e-07
7768;-2907.0714285714284;3701.1428571428573;-351.42857142857144;1.1580529842034846e-07
7800;-2896.9285714285716;3701.1428571428573;-361.57142857142856;1.5936442968340658e-07
7830;-2886.7857142857147;3701.1428571428573;-392.0;4.970720866758145e-08
7833;-2886.7857142857147;3701.1428571428573;-361.57142857142856;1.4925115412666027e-07
7835;-2886.7857142857147;3701.1428571428573;-341.28571428571433;9.600719703048393e-08
7867;-2876.642857142857;3701.1428571428573;-351.42857142857144;9.166329394529365e-08
7899;-2866.5;3701.1428571428573;-361.57142857142856;1.2489849438159645e-07
7931;-2856.357142857143;3701.1428571428573;-371.7142857142858;9.213606657598234e-08
7961;-2846.214285714286;3701.1428571428573;-402.1428571428572;4.085089045457197e-08
7962;-2846.214285714286;3701.1428571428573;-392.0;4.525696775565168e-08
7996;-2836.0714285714284;3701.1428571428573;-381.8571428571429;6.066045703950557e-08
8126;-2795.5;3701.1428571428573;-402.1428571428572;2.5971177937704415e-08
8193;-2775.214285714286;3701.1428571428573;-392.0;3.333208498742107e-08
8194;-2775.214285714286;3701.1428571428573;-381.8571428571429;1.6672593291197284e-08
8195;-2775.214285714286;3701.1428571428573;-371.7142857142858;3.3358033402209877e-08
11268;-3120.0714285714284;3711.285714285714;-331.1428571428572;1.836197320163756e-08
11296;-3109.9285714285716;3711.285714285714;-381.8571428571429;2.7218226637344206e-08
11361;-3089.6428571428573;3711.285714285714;-392.0;2.357869243861723e-08
11495;-3049.0714285714284;3711.285714285714;-371.7142857142858;1.0091998605776948e-07
11528;-3038.9285714285716;3711.285714285714;-371.7142857142858;1.1218076992185735e-07
11560;-3028.785714285714;3711.285714285714;-381.8571428571429;6.510455336756801e-08
11561;-3028.785714285714;3711.285714285714;-371.7142857142858;1.0855152390288356e-07
11595;-3018.6428571428573;3711.285714285714;-361.57142857142856;1.208774757389942e-07
11624;-3008.5;3711.285714285714;-402.1428571428572;2.3888307767285808e-08
11631;-3008.5;3711.285714285714;-331.1428571428572;7.636330834867516e-08
11658;-2998.357142857143;3711.285714285714;-392.0;7.092685754094321e-08
11661;-2998.357142857143;3711.285714285714;-361.57142857142856;1.3696184934343572e-07
11664;-2998.357142857143;3711.285714285714;-331.1428571428572;8.331777536367353e-08
11727;-2978.0714285714284;3711.285714285714;-361.57142857142856;1.4625257651161116e-07
11730;-2978.0714285714284;3711.285714285714;-331.1428571428572;7.68187739441298e-08
11757;-2967.9285714285716;3711.285714285714;-392.0;8.921706634460283e-08
11794;-2957.7857142857147;3711.285714285714;-351.42857142857144;9.75617300603017e-08
11796;-2957.7857142857147;3711.285714285714;-331.1428571428572;6.525765685897419e-08
11826;-2947.642857142857;3711.285714285714;-361.57142857142856;1.9285689338284905e-07
11827;-2947.642857142857;3711.285714285714;-351.42857142857144;1.0725340393980675e-07
11828;-2947.642857142857;3711.285714285714;-341.28571428571433;1.3310251556106016e-07
11855;-2937.5;3711.285714285714;-402.1428571428572;4.0727202302797956e-08
11890;-2927.357142857143;3711.285714285714;-381.8571428571429;1.6579989887501936e-07
11892;-2927.357142857143;3711.285714285714;-361.57142857142856;1.9268606676166813e-07
11894;-2927.357142857143;3711.285714285714;-341.28571428571433;1.2907217844855936e-07
11923;-2917.214285714286;3711.285714285714;-381.8571428571429;1.614918246323793e-07
11924;-2917.214285714286;3711.285714285714;-371.7142857142858;8.839272814836373e-08
11960;-2907.0714285714284;3711.285714285714;-341.28571428571433;1.2301168236615072e-07
11991;-2896.9285714285716;3711.285714285714;-361.57142857142856;1.5101753483273708e-07
12022;-2886.7857142857147;3711.285714285714;-381.8571428571429;1.1076989921782206e-07
12057;-2876.642857142857;3711.285714285714;-361.57142857142856;1.263148030798007e-07
12058;-2876.642857142857;3711.285714285714;-351.42857142857144;8.130819633695557e-08
12091;-2866.5;3711.285714285714;-351.42857142857144;7.644415414431752e-08
12119;-2856.357142857143;3711.285714285714;-402.1428571428572;3.707240148161392e-08
12122;-2856.357142857143;3711.285714285714;-371.7142857142858;8.569059757775294e-08
12155;-2846.214285714286;3711.285714285714;-371.7142857142858;7.847180848937855e-08
12156;-2846.214285714286;3711.285714285714;-361.57142857142856;9.419277045025805e-08
12157;-2846.214285714286;3711.285714285714;-351.42857142857144;6.201667936144493e-08
12190;-2836.0714285714284;3711.285714285714;-351.42857142857144;5.252329945435406e-08
12287;-2805.642857142857;3711.285714285714;-371.7142857142858;4.378254859805363e-08
12322;-2795.5;3711.285714285714;-351.42857142857144;3.096038847192096e-08
12419;-2765.0714285714284;3711.285714285714;-371.7142857142858;2.1323841351253107e-08
15426;-3130.214285714286;3721.4285714285716;-331.1428571428572;1.3840255515990467e-08
15520;-3099.785714285714;3721.4285714285716;-381.8571428571429;4.176134677962467e-08
15589;-3079.5;3721.4285714285716;-351.42857142857144;9.61963144759445e-08
15650;-3059.214285714286;3721.4285714285716;-402.1428571428572;7.881882219142033e-09
15687;-3049.0714285714284;3721.4285714285716;-361.57142857142856;8.535323683492278e-08
15689;-3049.0714285714284;3721.4285714285716;-341.28571428571433;1.2585646395688203e-07
15720;-3038.9285714285716;3721.4285714285716;-361.57142857142856;1.0091874028361121e-07
15723;-3038.9285714285716;3721.4285714285716;-331.1428571428572;6.597956117075454e-08
15751;-3028.785714285714;3721.4285714285716;-381.8571428571429;6.295874646658637e-08
15754;-3028.785714285714;3721.4285714285716;-351.42857142857144;1.3683195622690662e-07
15786;-3018.6428571428573;3721.4285714285716;-361.57142857142856;1.2091510168971446e-07
15787;-3018.6428571428573;3721.4285714285716;-351.42857142857144;1.091520903383622e-07
15818;-3008.5;3721.4285714285716;-371.7142857142858;1.3083163916796905e-07
15821;-3008.5;3721.4285714285716;-341.28571428571433;1.265686751142515e-07
15822;-3008.5;3721.4285714285716;-331.1428571428572;7.86644636318293e-08
15848;-2998.357142857143;3721.4285714285716;-402.1428571428572;3.203831462075082e-08
15851;-2998.357142857143;3721.4285714285716;-371.7142857142858;1.3930060151176343e-07
15854;-2998.357142857143;3721.4285714285716;-341.28571428571433;1.3381444453517562e-07
15883;-2988.214285714286;3721.4285714285716;-381.8571428571429;8.750257436856983e-08
